nomen_musculi_regio;nomen_musculi;descriptio
cervix;sternocleidomastoid;neck side
cervix;splenius capitis;neck
cervix;semispinalis capitis;neck
umerus;deltoid;shoulder
umerus;rotator cuff;shoulder
dorsum;teres major;upper back
dorsum;trapezius;shoulders, back
dorsum;latissimus dorsi;back
dorsum;rhomboid;middle back
dorsum;erector spinae;lower back
pectus;pectoralis major;chest
pectus;pectoralis minor;chest
brachium;biceps;arm
brachium;triceps;arm
antebrachium;flexores carpi;
antebrachium;extensores carpi;
antebrachium;pronator;
antebrachium;supinator;supinates the forearm
antebrachium;brachioradialis;flexes the forearm at elbow
abdomen;rectus abdominis;abs
abdomen;external obliques;obliques
abdomen;internal obliques;obliques
abdomen;transverse abdominis;core
coxae;adductor;hip
coxae;iliopsoas;hip flexors
femur;quadricep;thigh
femur;sartorius;tailors muscle, thigh
glutaeus;hamstring;thigh
glutaeus;gracilis;thigh
glutaeus;gluteal muscles;glutes
crus;gastrocnemicus;calf
crus;soleus;calf
crus;tibialis anterior;shin
